name,population,vicmap:pfi,wikidata,wikipedia,boundary_type,area,area (ha),perimeter
Botanic Ridge,3919,212811750,Q14935066,"en:Botanic Ridge, Victoria",,9670644.116,967.0644116,13521.38306
Seville East,797,205409863,Q7458065,"en:Seville East, Victoria",,9677618.19,967.761819,25883.55167
Kilsyth,10891,205409877,Q6408209,"en:Kilsyth, Victoria",,9724894.029,972.4894029,24348.71352
Port Melbourne,16175,205409864,Q1623026,"en:Port Melbourne, Victoria",,9790952.394,979.0952394,18370.64322
Baxter,2162,205409860,Q4873824,"en:Baxter, Victoria",,9854206.831,985.4206831,21678.32689
Ringwood,17471,205409851,Q3019699,"en:Ringwood, Victoria",,9904157.856,990.4157856,20430.98699
Greensborough,20821,205409848,Q5604476,"en:Greensborough, Victoria",,10136892.19,1013.689219,24062.1167
Keilor East,14514,205409865,Q1424133,"en:Keilor East, Victoria",,10151110.25,1015.111025,16980.94789
Cranbourne North,20110,205409839,Q5181934,"en:Cranbourne North, Victoria",,10223161.85,1022.316185,16249.35836
Beaconsfield,6714,205409906,Q812898,"en:Beaconsfield, Victoria",,10240381.68,1024.038168,18785.29685
Kurunjang,10070,205409837,Q6447466,en:Kurunjang,,10420320.23,1042.032023,13847.45277
Fraser Rise,,425679826,Q28942246,"en:Fraser Rise, Victoria",,10426703.06,1042.670306,13262.99409
Wheelers Hill,19753,205409840,Q4019311,"en:Wheelers Hill, Victoria",,10456411.27,1045.641127,15935.68121
Montrose,6761,205409809,Q6906456,"en:Montrose, Victoria",,10525900.97,1052.590097,18961.15736
Cheltenham,22291,205409831,Q5090177,"en:Cheltenham, Victoria",,10580303.37,1058.030337,18561.34882
Bittern,3705,205409616,Q2904938,"en:Bittern, Victoria",,10586310.64,1058.631064,21022.38354
Altona Meadows,19160,205409833,Q443960,"en:Altona Meadows, Victoria",,10615386.57,1061.538657,18330.01904
Kew,24605,205409835,Q72216,"en:Kew, Victoria",,10645213.91,1064.521391,22010.00893
Mulgrave,19368,205409825,Q6933974,"en:Mulgrave, Victoria",,10645422.09,1064.542209,19173.66061
Brookfield,9216,205409826,Q4974556,"en:Brookfield, Victoria",,10694827.69,1069.482769,14300.39902
Strathtulloh,,425646096,Q28942251,"en:Strathtulloh, Victoria",,10873923.79,1087.392379,16129.4525
